"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","lowername"
"+","UEFL",NA,"Unidentified Empidonax Flycatcher","Empidonax (sp)","EMPSPE",NA,"unidentified empidonax flycatcher"
NA,"BLPH",NA,"Black Phoebe","Sayornis nigricans","SAYNIG",NA,"black phoebe"
NA,"EAPH",NA,"Eastern Phoebe","Sayornis phoebe","SAYPHO",NA,"eastern phoebe"
NA,"SAPH",NA,"Say's Phoebe","Sayornis saya","SAYSAY",NA,"says phoebe"
NA,"VEFL",NA,"Vermilion Flycatcher","Pyrocephalus rubinus","PYRRUB",NA,"vermilion flycatcher"
NA,"PIWT",NA,"Pied Water-Tyrant","Fluvicola pica","FLUPIC",NA,"pied water tyrant"
NA,"NOSF",NA,"Northern Scrub-Flycatcher","Sublegatus arenarum","SUBARE",NA,"northern scrub flycatcher"
NA,"LTTY",NA,"Long-tailed Tyrant","Colonia colonus","COLCOL",NA,"long tailed tyrant"
"+","UNFL",NA,"Unidentified Flycatcher","Tyrannidae (gen, sp)","TYRGEN",NA,"unidentified flycatcher"
NA,"BROS","*","Brown Shrike","Lanius cristatus","LANCRI",NA,"brown shrike"
NA,"LOSH",NA,"Loggerhead Shrike","Lanius ludovicianus","LANLUD",NA,"loggerhead shrike"
NA,"NSHR","*","Northern Shrike","Lanius borealis","LANBOR",NA,"northern shrike"
NA,"RBPE",NA,"Rufous-browed Peppershrike","Cyclarhis gujanensis","CYCGUJ",NA,"rufous browed peppershrike"
NA,"SCRG","*","Scrub Greenlet","Hylophilus flavipes","HYLFLA",NA,"scrub greenlet"
NA,"CSSV",NA,"Chestnut-sided Shrike-Vireo","Vireolanius melitophrys","VIRMEL",NA,"chestnut sided shrike vireo"
NA,"GRSV",NA,"Green Shrike-Vireo","Vireolanius pulchellus","VIRPUL",NA,"green shrike vireo"
NA,"YBSV",NA,"Yellow-browed Shrike-Vireo","Vireolanius eximius","VIREXI",NA,"yellow browed shrike vireo"
NA,"TCGR",NA,"Tawny-crowned Greenlet","Tunchiornis ochraceiceps","TUNOCH",NA,"tawny crowned greenlet"
NA,"LESG","*","Lesser Greenlet","Pachysylvia decurtata","PACDEC",NA,"lesser greenlet"
NA,"GFGR",NA,"Golden-fronted Greenlet","Pachysylvia aurantiifrons","PACAUR",NA,"golden fronted greenlet"
NA,"GOVI",NA,"Golden Vireo","Vireo hypochryseus","VIRHYP",NA,"golden vireo"
NA,"BMVI",NA,"Blue Mountain Vireo","Vireo osburni","VIROSB",NA,"blue mountain vireo"
NA,"SLVI",NA,"Slaty Vireo","Vireo brevipennis","VIRBRE",NA,"slaty vireo"
NA,"BCVI",NA,"Black-capped Vireo","Vireo atricapilla","VIRATR",NA,"black capped vireo"
NA,"DWVI",NA,"Dwarf Vireo","Vireo nelsoni","VIRNEL",NA,"dwarf vireo"
NA,"WEVI",NA,"White-eyed Vireo","Vireo griseus","VIRGRI",NA,"white eyed vireo"
NA,"TBVI",NA,"Thick-billed Vireo","Vireo crassirostris","VIRCRA",NA,"thick billed vireo"
NA,"MAVI",NA,"Mangrove Vireo","Vireo pallens","VIRPAL",NA,"mangrove vireo"
NA,"COVI",NA,"Cozumel Vireo","Vireo bairdi","VIRBAI",NA,"cozumel vireo"
NA,"SAVI",NA,"San Andres Vireo","Vireo caribaeus","VIRCAB","*","san andres vireo"
NA,"JAVI",NA,"Jamaican Vireo","Vireo modestus","VIRMOD",NA,"jamaican vireo"
NA,"CUVI",NA,"Cuban Vireo","Vireo gundlachii","VIRGUN",NA,"cuban vireo"
NA,"PRVI",NA,"Puerto Rican Vireo","Vireo latimeri","VIRLAT",NA,"puerto rican vireo"
NA,"FBVI",NA,"Flat-billed Vireo","Vireo nanus","VIRNAN",NA,"flat billed vireo"
NA,"BEVI",NA,"Bell's Vireo","Vireo bellii","VIRBEL",NA,"bells vireo"
"+","LBVI",NA,"Least Bell's Vireo","Vireo bellii pusillus","VIRBPU",NA,"least bells vireo"
NA,"GRVI",NA,"Gray Vireo","Vireo vicinior","VIRVIC",NA,"gray vireo"
NA,"HUVI",NA,"Hutton's Vireo","Vireo huttoni","VIRHUT",NA,"huttons vireo"
NA,"YTVI",NA,"Yellow-throated Vireo","Vireo flavifrons","VIRFLF","*","yellow throated vireo"
NA,"YWVI",NA,"Yellow-winged Vireo","Vireo carmioli","VIRCAM","*","yellow winged vireo"
NA,"CAVI",NA,"Cassin's Vireo","Vireo cassinii","VIRCAS",NA,"cassins vireo"
NA,"BHVI",NA,"Blue-headed Vireo","Vireo solitarius","VIRSOL",NA,"blue headed vireo"
"+","SOVI",NA,"Solitary Vireo","Vireo (sp)","VIRSPE",NA,"solitary vireo"
NA,"PLVI",NA,"Plumbeous Vireo","Vireo plumbeus","VIRPLU",NA,"plumbeous vireo"
NA,"PHVI",NA,"Philadelphia Vireo","Vireo philadelphicus","VIRPHI",NA,"philadelphia vireo"
NA,"WAVI",NA,"Warbling Vireo","Vireo gilvus","VIRGIL",NA,"warbling vireo"
NA,"BCAV","*","Brown-capped Vireo","Vireo leucophrys","VIRLEU",NA,"brown capped vireo"
NA,"REVI",NA,"Red-eyed Vireo","Vireo olivaceus","VIROLI",NA,"red eyed vireo"
NA,"YGVI",NA,"Yellow-green Vireo","Vireo flavoviridis","VIRFLD","*","yellow green vireo"
NA,"BWVI",NA,"Black-whiskered Vireo","Vireo altiloquus","VIRALT",NA,"black whiskered vireo"
NA,"YUVI",NA,"Yucatan Vireo","Vireo magister","VIRMAG",NA,"yucatan vireo"
NA,"CAJA",NA,"Canada Jay","Perisoreus canadensis","PERCAN",NA,"canada jay"
NA,"WTJA",NA,"White-throated Jay","Cyanolyca mirabilis","CYAMIR",NA,"white throated jay"
NA,"DWJA",NA,"Dwarf Jay","Cyanolyca nana","CYANAN",NA,"dwarf jay"
NA,"BTJA",NA,"Black-throated Jay","Cyanolyca pumilo","CYAPUM",NA,"black throated jay"
NA,"STHJ","*","Silvery-throated Jay","Cyanolyca argentigula","CYAARG",NA,"silvery throated jay"
NA,"AHJA",NA,"Azure-hooded Jay","Cyanolyca cucullata","CYACUC",NA,"azure hooded jay"
NA,"BTMJ",NA,"Black-throated Magpie-Jay","Calocitta colliei","CALCOL",NA,"black throated magpie jay"
NA,"WTMJ",NA,"White-throated Magpie-Jay","Calocitta formosa","CALFOR",NA,"white throated magpie jay"
NA,"BRJA",NA,"Brown Jay","Psilorhinus morio","PSIMOR",NA,"brown jay"
NA,"TUJA",NA,"Tufted Jay","Cyanocorax dickeyi","CYADIC",NA,"tufted jay"
NA,"BCHJ","*","Black-chested Jay","Cyanocorax affinis","CYAAFF",NA,"black chested jay"
NA,"GRJA",NA,"Green Jay","Cyanocorax yncas","CYAYNC",NA,"green jay"
NA,"BCRJ","*","Bushy-crested Jay","Cyanocorax melanocyaneus","CYAMEL",NA,"bushy crested jay"
NA,"SBJA",NA,"San Blas Jay","Cyanocorax sanblasianus","CYASAN",NA,"san blas jay"
NA,"YUJA",NA,"Yucatan Jay","Cyanocorax yucatanicus","CYAYUC",NA,"yucatan jay"
NA,"PBJA",NA,"Purplish-backed Jay","Cyanocorax beecheii","CYABEE",NA,"purplish backed jay"
NA,"PIJA",NA,"Pinyon Jay","Gymnorhinus cyanocephalus","GYMCYA",NA,"pinyon jay"
NA,"STJA",NA,"Steller's Jay","Cyanocitta stelleri","CYASTE",NA,"stellers jay"
NA,"BLJA",NA,"Blue Jay","Cyanocitta cristata","CYACRI",NA,"blue jay"
NA,"FLSJ",NA,"Florida Scrub-Jay","Aphelocoma coerulescens","APHCOE",NA,"florida scrub jay"
NA,"ISSJ",NA,"Island Scrub-Jay","Aphelocoma insularis","APHINS",NA,"island scrub jay"
NA,"CASJ",NA,"California Scrub-Jay","Aphelocoma californica","APHCAL",NA,"california scrub jay"
NA,"WOSJ",NA,"Woodhouse's Scrub-Jay","Aphelocoma woodhouseii","APHWOO",NA,"woodhouses scrub jay"
NA,"TRJA",NA,"Transvolcanic Jay","Aphelocoma ultramarina","APHULT",NA,"transvolcanic jay"
NA,"MEJA",NA,"Mexican Jay","Aphelocoma wollweberi","APHWOL",NA,"mexican jay"
NA,"UNJA",NA,"Unicolored Jay","Aphelocoma unicolor","APHUNI",NA,"unicolored jay"
NA,"CLNU",NA,"Clark's Nutcracker","Nucifraga columbiana","NUCCOL",NA,"clarks nutcracker"
NA,"BBMA",NA,"Black-billed Magpie","Pica hudsonia","PICHUD",NA,"black billed magpie"
NA,"YBMA",NA,"Yellow-billed Magpie","Pica nuttalli","PICNUT",NA,"yellow billed magpie"
NA,"EUJA",NA,"Eurasian Jackdaw","Corvus monedula","CORMON",NA,"eurasian jackdaw"
NA,"ROOK",NA,"Rook","Corvus frugilegus","CORFRU",NA,"rook"
NA,"AMCR",NA,"American Crow","Corvus brachyrhynchos","CORBRA",NA,"american crow"
NA,"NOCR",NA,"Northwestern Crow","Corvus caurinus","CORCAU",NA,"northwestern crow"
NA,"PACR",NA,"Palm Crow","Corvus palmarum","CORPAL",NA,"palm crow"
NA,"CUCR",NA,"Cuban Crow","Corvus nasicus","CORNAS",NA,"cuban crow"
NA,"WNCR",NA,"White-necked Crow","Corvus leucognaphalus","CORLEU",NA,"white necked crow"
NA,"HOCR",NA,"Hooded Crow","Corvus cornix","CORCOR",NA,"hooded crow"
NA,"JACR",NA,"Jamaican Crow","Corvus jamaicensis","CORJAM",NA,"jamaican crow"
NA,"TACR",NA,"Tamaulipas Crow","Corvus imparatus","CORIMP",NA,"tamaulipas crow"
NA,"SICR",NA,"Sinaloa Crow","Corvus sinaloae","CORSIN",NA,"sinaloa crow"
NA,"FICR",NA,"Fish Crow","Corvus ossifragus","COROSS",NA,"fish crow"
NA,"HCRO","*","Hawaiian Crow","Corvus hawaiiensis","CORHAW",NA,"hawaiian crow"
"+","UNCR",NA,"Unidentified Crow","Corvus (sp)","CORSPE",NA,"unidentified crow"
NA,"CHRA",NA,"Chihuahuan Raven","Corvus cryptoleucus","CORCRY",NA,"chihuahuan raven"
NA,"CORA",NA,"Common Raven","Corvus corax","CORCOX","*","common raven"
NA,"KAEL",NA,"Kauai Elepaio","Chasiempis sclateri","CHASCL",NA,"kauai elepaio"
NA,"OAEL",NA,"Oahu Elepaio","Chasiempis ibidis","CHAIBI",NA,"oahu elepaio"
NA,"HAEL",NA,"Hawaii Elepaio","Chasiempis sandwichensis","CHASAN",NA,"hawaii elepaio"
NA,"EUSK",NA,"Eurasian Skylark","Alauda arvensis","ALAARV",NA,"eurasian skylark"
NA,"HOLA",NA,"Horned Lark","Eremophila alpestris","EREALP",NA,"horned lark"
NA,"PUMA",NA,"Purple Martin","Progne subis","PROSUB",NA,"purple martin"
NA,"CUMA",NA,"Cuban Martin","Progne cryptoleuca","PROCRY",NA,"cuban martin"
NA,"CAMA",NA,"Caribbean Martin","Progne dominicensis","PRODOM",NA,"caribbean martin"
NA,"SIMA",NA,"Sinaloa Martin","Progne sinaloae","PROSIN",NA,"sinaloa martin"
NA,"GYBM","*","Gray-breasted Martin","Progne chalybea","PROCHA",NA,"gray breasted martin"
NA,"SOMA",NA,"Southern Martin","Progne elegans","PROELE",NA,"southern martin"
NA,"BCMA",NA,"Brown-chested Martin","Progne tapera","PROTAP",NA,"brown chested martin"
NA,"TRES","*","Tree Swallow","Tachycineta bicolor","TACBIC",NA,"tree swallow"
NA,"MANS","*","Mangrove Swallow","Tachycineta albilinea","TACALB",NA,"mangrove swallow"
NA,"GOSW",NA,"Golden Swallow","Tachycineta euchrysea","TACEUC",NA,"golden swallow"
NA,"VGSW",NA,"Violet-green Swallow","Tachycineta thalassina","TACTHA",NA,"violet green swallow"
NA,"BAHS","*","Bahama Swallow","Tachycineta cyaneoviridis","TACCYA",NA,"bahama swallow"
NA,"BAWS",NA,"Blue-and-white Swallow","Pygochelidon cyanoleuca","PYGCYA",NA,"blue and white swallow"
NA,"BCSW",NA,"Black-capped Swallow","Atticora pileata","ATTPIL",NA,"black capped swallow"
NA,"WTGS","*","White-thighed Swallow","Atticora tibialis","ATTTIB",NA,"white thighed swallow"
NA,"NRWS",NA,"Northern Rough-winged Swallow","Stelgidopteryx serripennis","STESER",NA,"northern rough winged swallow"
NA,"SRWS",NA,"Southern Rough-winged Swallow","Stelgidopteryx ruficollis","STERUF",NA,"southern rough winged swallow"
NA,"BANS","*","Bank Swallow","Riparia riparia","RIPRIP",NA,"bank swallow"
NA,"CLSW",NA,"Cliff Swallow","Petrochelidon pyrrhonota","PETPYR",NA,"cliff swallow"
NA,"CASW",NA,"Cave Swallow","Petrochelidon fulva","PETFUL",NA,"cave swallow"
NA,"BARS","*","Barn Swallow","Hirundo rustica","HIRRUS",NA,"barn swallow"
NA,"COHM",NA,"Common House-Martin","Delichon urbicum","DELURB",NA,"common house martin"
"+","UNSW",NA,"Unidentified Swallow","Hirundinidae (gen, sp)","HIRGSP",NA,"unidentified swallow"
NA,"CACH",NA,"Carolina Chickadee","Poecile carolinensis","POECAR",NA,"carolina chickadee"
"+","CBCC","*","Carolina X Black-c. Chickadee Hybrid","Poecile carolinensis x atricapilla","POECAA",NA,"carolina x black c. chickadee hybrid"
NA,"BCCH",NA,"Black-capped Chickadee","Poecile atricapillus","POEATR",NA,"black capped chickadee"
NA,"MOCH",NA,"Mountain Chickadee","Poecile gambeli","POEGAM",NA,"mountain chickadee"
NA,"MECH",NA,"Mexican Chickadee","Poecile sclateri","POESCL",NA,"mexican chickadee"
NA,"CBCH",NA,"Chestnut-backed Chickadee","Poecile rufescens","POERUF",NA,"chestnut backed chickadee"
NA,"BOCH",NA,"Boreal Chickadee","Poecile hudsonicus","POEHUD",NA,"boreal chickadee"
NA,"GHCH",NA,"Gray-headed Chickadee","Poecile cinctus","POECIN",NA,"gray headed chickadee"
"+","UPCH",NA,"Unidentified Poecile Chickadee","Poecile (sp)","POESPE",NA,"unidentified poecile chickadee"
NA,"BRTI",NA,"Bridled Titmouse","Baeolophus wollweberi","BAEWOL",NA,"bridled titmouse"
NA,"OATI",NA,"Oak Titmouse","Baeolophus inornatus","BAEINO",NA,"oak titmouse"
NA,"JUTI",NA,"Juniper Titmouse","Baeolophus ridgwayi","BAERID",NA,"juniper titmouse"
NA,"TUTI",NA,"Tufted Titmouse","Baeolophus bicolor","BAEBIC",NA,"tufted titmouse"
NA,"BCTI",NA,"Black-crested Titmouse","Baeolophus atricristatus","BAEATR",NA,"black crested titmouse"
NA,"VERD",NA,"Verdin","Auriparus flaviceps","AURFLA",NA,"verdin"
NA,"BUSH",NA,"Bushtit","Psaltriparus minimus","PSAMIN",NA,"bushtit"
NA,"RBNU",NA,"Red-breasted Nuthatch","Sitta canadensis","SITCAN",NA,"red breasted nuthatch"
NA,"WBNU",NA,"White-breasted Nuthatch","Sitta carolinensis","SITCAR",NA,"white breasted nuthatch"
NA,"PYNU",NA,"Pygmy Nuthatch","Sitta pygmaea","SITPYG",NA,"pygmy nuthatch"
NA,"BHNU",NA,"Brown-headed Nuthatch","Sitta pusilla","SITPUS",NA,"brown headed nuthatch"
NA,"BRCR",NA,"Brown Creeper","Certhia americana","CERAME",NA,"brown creeper"
NA,"ROWR",NA,"Rock Wren","Salpinctes obsoletus","SALOBS",NA,"rock wren"
NA,"NIWR",NA,"Nightingale Wren","Microcerculus philomela","MICPHI",NA,"nightingale wren"
NA,"SCBW","*","Scaly-breasted Wren","Microcerculus marginatus","MICMAR",NA,"scaly breasted wren"
NA,"CANW","*","Canyon Wren","Catherpes mexicanus","CAPMEX","*","canyon wren"
NA,"SUWR",NA,"Sumichrast's Wren","Hylorchilus sumichrasti","HYLSUM",NA,"sumichrasts wren"
NA,"NAWR",NA,"Nava's Wren","Hylorchilus navai","HYLNAV",NA,"navas wren"
NA,"ZAWR",NA,"Zapata Wren","Ferminia cerverai","FERCER",NA,"zapata wren"
NA,"HOWR",NA,"House Wren","Troglodytes aedon","TROAED",NA,"house wren"
"+","SOHW",NA,"Southern House-Wren","Troglodytes aedon musculus","TROAMU",NA,"southern house wren"
NA,"SOCW","*","Socorro Wren","Troglodytes sissonii","TROSIS",NA,"socorro wren"
NA,"CLWR",NA,"Clarion Wren","Troglodytes tanneri","TROTAN",NA,"clarion wren"
NA,"RBWW","*","Rufous-browed Wren","Troglodytes rufociliatus","TRORUC","*","rufous browed wren"
NA,"OCWR",NA,"Ochraceous Wren","Troglodytes ochraceus","TROOCH",NA,"ochraceous wren"
NA,"PAWR",NA,"Pacific Wren","Troglodytes pacificus","TROPAC",NA,"pacific wren"
NA,"WIWR",NA,"Winter Wren","Troglodytes hiemalis","TROHIE",NA,"winter wren"
NA,"TIWR",NA,"Timberline Wren","Thryorchilus browni","THRBRO",NA,"timberline wren"
NA,"SEWR",NA,"Sedge Wren","Cistothorus platensis","CISPLA",NA,"sedge wren"
NA,"MAWR",NA,"Marsh Wren","Cistothorus palustris","CISPAL",NA,"marsh wren"
NA,"CARW","*","Carolina Wren","Thryothorus ludovicianus","THRLUD",NA,"carolina wren"
NA,"BEWR",NA,"Bewick's Wren","Thryomanes bewickii","THRBEW",NA,"bewicks wren"
NA,"WHWR",NA,"White-headed Wren","Campylorhynchus albobrunneus","CAMALB",NA,"white headed wren"
NA,"BABW","*","Band-backed Wren","Campylorhynchus zonatus","CAMZON",NA,"band backed wren"
NA,"GBWR",NA,"Gray-barred Wren","Campylorhynchus megalopterus","CAMMEG",NA,"gray barred wren"
NA,"GIWR",NA,"Giant Wren","Campylorhynchus chiapensis","CAMCHI",NA,"giant wren"
NA,"BIWR",NA,"Bicolored Wren","Campylorhynchus griseus","CAMGRI",NA,"bicolored wren"
NA,"RNAW","*","Rufous-naped Wren","Campylorhynchus rufinucha","CAMRUN","*","rufous naped wren"
NA,"SPWR",NA,"Spotted Wren","Campylorhynchus gularis","CAMGUL",NA,"spotted wren"
NA,"BOWR",NA,"Boucard's Wren","Campylorhynchus jocosus","CAMJOC",NA,"boucards wren"
NA,"YUWR",NA,"Yucatan Wren","Campylorhynchus yucatanicus","CAMYUC",NA,"yucatan wren"
NA,"CACW","*","Cactus Wren","Campylorhynchus brunneicapillus","CAMBRU",NA,"cactus wren"
NA,"SHWR",NA,"Sooty-headed Wren","Pheugopedius spadix","PHESPA",NA,"sooty headed wren"
NA,"BTWR",NA,"Black-throated Wren","Pheugopedius atrogularis","PHEATR",NA,"black throated wren"
NA,"RBSW","*","Rufous-breasted Wren","Pheugopedius rutilus","PHERUT",NA,"rufous breasted wren"
NA,"SBSW","*","Spot-breasted Wren","Pheugopedius maculipectus","PHEMAC",NA,"spot breasted wren"
NA,"HAWR",NA,"Happy Wren","Pheugopedius felix","PHEFEL",NA,"happy wren"
NA,"BBEW","*","Black-bellied Wren","Pheugopedius fasciatoventris","PHEFAS",NA,"black bellied wren"
NA,"RAWW",NA,"Rufous-and-white Wren","Thryophilus rufalbus","THRRUL","*","rufous and white wren"
NA,"SIWR",NA,"Sinaloa Wren","Thryophilus sinaloa","THRSIN",NA,"sinaloa wren"
NA,"BANW","*","Banded Wren","Thryophilus pleurostictus","THRPLE",NA,"banded wren"
NA,"STWR",NA,"Stripe-throated Wren","Cantorchilus leucopogon","CANLEP","*","stripe throated wren"
NA,"SIBW","*","Stripe-breasted Wren","Cantorchilus thoracicus","CANTHO",NA,"stripe breasted wren"
NA,"CABW","*","Cabanis's Wren","Cantorchilus modestus","CANMOD",NA,"cabaniss wren"
NA,"CAKW","*","Canebrake Wren","Cantorchilus zeledoni","CANZEL",NA,"canebrake wren"
NA,"ISWR",NA,"Isthmian Wren","Cantorchilus elutus","CANELU",NA,"isthmian wren"
NA,"BAYW","*","Bay Wren","Cantorchilus nigricapillus","CANNIG",NA,"bay wren"
NA,"RIWR",NA,"Riverside Wren","Cantorchilus semibadius","CANSEM",NA,"riverside wren"
NA,"BBRW","*","Buff-breasted Wren","Cantorchilus leucotis","CANLET","*","buff breasted wren"
NA,"WBWR",NA,"White-bellied Wren","Uropsila leucogastra","UROLEU",NA,"white bellied wren"
NA,"WBWW",NA,"White-breasted Wood-Wren","Henicorhina leucosticta","HENLES","*","white breasted wood wren"
NA,"GBWW",NA,"Gray-breasted Wood-Wren","Henicorhina leucophrys","HENLEP","*","gray breasted wood wren"
NA,"SONW","*","Song Wren","Cyphorhinus phaeocephalus","CYPPHA",NA,"song wren"
"+","UNWR",NA,"Unidentified Wren","Troglodytidae (gen, sp)","TRGGSP","*","unidentified wren"
NA,"TFGN",NA,"Tawny-faced Gnatwren","Microbates cinereiventris","MICCIN",NA,"tawny faced gnatwren"
NA,"LBGN",NA,"Long-billed Gnatwren","Ramphocaenus melanurus","RAMMEL",NA,"long billed gnatwren"
NA,"BGGN",NA,"Blue-gray Gnatcatcher","Polioptila caerulea","POLCAE",NA,"blue gray gnatcatcher"
NA,"CUGN",NA,"Cuban Gnatcatcher","Polioptila lembeyei","POLLEM",NA,"cuban gnatcatcher"
NA,"CAGN",NA,"California Gnatcatcher","Polioptila californica","POLCAL",NA,"california gnatcatcher"
NA,"BTGN",NA,"Black-tailed Gnatcatcher","Polioptila melanura","POLMEL",NA,"black tailed gnatcatcher"
NA,"BCGN",NA,"Black-capped Gnatcatcher","Polioptila nigriceps","POLNIG",NA,"black capped gnatcatcher"
NA,"WLGN",NA,"White-lored Gnatcatcher","Polioptila albiloris","POLALB",NA,"white lored gnatcatcher"
NA,"TRGN",NA,"Tropical Gnatcatcher","Polioptila plumbea","POLPLU",NA,"tropical gnatcatcher"
NA,"STGN",NA,"Slate-throated Gnatcatcher","Polioptila schistaceigula","POLSCH",NA,"slate throated gnatcatcher"
NA,"AMDI",NA,"American Dipper","Cinclus mexicanus","CINMEX",NA,"american dipper"
NA,"RVBU",NA,"Red-vented Bulbul","Pycnonotus cafer","PYCCAF",NA,"red vented bulbul"
NA,"RWBU",NA,"Red-whiskered Bulbul","Pycnonotus jocosus","PYCJOC",NA,"red whiskered bulbul"
NA,"GCKI",NA,"Golden-crowned Kinglet","Regulus satrapa","REGSAT",NA,"golden crowned kinglet"
NA,"RCKI",NA,"Ruby-crowned Kinglet","Regulus calendula","REGCAL",NA,"ruby crowned kinglet"
NA,"JABW",NA,"Japanese Bush-Warbler","Horornis diphone","HORDIP",NA,"japanese bush warbler"
NA,"WILW","*","Willow Warbler","Phylloscopus trochilus","PHYTRO",NA,"willow warbler"
NA,"CCHI","*","Common Chiffchaff","Phylloscopus collybita","PHYCOL",NA,"common chiffchaff"
NA,"WOWA",NA,"Wood Warbler","Phylloscopus sibilatrix","PHYSIB",NA,"wood warbler"
NA,"DUWA",NA,"Dusky Warbler","Phylloscopus fuscatus","PHYFUS",NA,"dusky warbler"
NA,"PLEW","*","Pallas's Leaf Warbler","Phylloscopus proregulus","PHYPRO",NA,"pallass leaf warbler"
NA,"YBWA",NA,"Yellow-browed Warbler","Phylloscopus inornatus","PHYINO",NA,"yellow browed warbler"
NA,"ARWA",NA,"Arctic Warbler","Phylloscopus borealis","PHYBOR",NA,"arctic warbler"
"+","AKLW",NA,"Arctic/Kamchatka Leaf Warbler","Phylloscopus borealis/examinandus","PHYBOE",NA,"arctic/kamchatka leaf warbler"
NA,"KLWA",NA,"Kamchatka Leaf Warbler","Phylloscopus examinandus","PHYEXA",NA,"kamchatka leaf warbler"
NA,"EUBC","*","Eurasian Blackcap","Sylvia atricapilla","SYLATR",NA,"eurasian blackcap"
NA,"LEWH",NA,"Lesser Whitethroat","Sylvia curruca","SYLCUR",NA,"lesser whitethroat"
NA,"WREN",NA,"Wrentit","Chamaea fasciata","CHAFAS",NA,"wrentit"
NA,"JAWE",NA,"Japanese White-eye","Zosterops japonicus","ZOSJAP",NA,"japanese white eye"
NA,"GNLA",NA,"Greater Necklaced Laughingthrush","Garrulax pectoralis","GARPEC",NA,"greater necklaced laughingthrush"
NA,"HWAM",NA,"Hwamei","Garrulax canorus","GARCAN",NA,"hwamei"
NA,"RBLE",NA,"Red-billed Leiothrix","Leiothrix lutea","LEILUT",NA,"red billed leiothrix"
NA,"MILL",NA,"Millerbird","Acrocephalus familiaris","ACRFAM",NA,"millerbird"
NA,"SEWA",NA,"Sedge Warbler","Acrocephalus schoenobaenus","ACRSCH",NA,"sedge warbler"
NA,"BREW","*","Blyth's Reed Warbler","Acrocephalus dumetorum","ACRDUM",NA,"blyths reed warbler"
NA,"BCDO",NA,"Black-capped Donacobius","Donacobius atricapilla","DONATR",NA,"black capped donacobius"
NA,"MIGW",NA,"Middendorff's Grasshopper-Warbler","Locustella ochotensis","LOCOCH",NA,"middendorffs grasshopper warbler"
NA,"LANW","*","Lanceolated Warbler","Locustella lanceolata","LOCLAN",NA,"lanceolated warbler"
NA,"GSFL",NA,"Gray-streaked Flycatcher","Muscicapa griseisticta","MUSGRI",NA,"gray streaked flycatcher"
NA,"ABFL",NA,"Asian Brown Flycatcher","Muscicapa dauurica","MUSDAU",NA,"asian brown flycatcher"
NA,"SPFL",NA,"Spotted Flycatcher","Muscicapa striata","MUSSTR",NA,"spotted flycatcher"
NA,"DSFL",NA,"Dark-sided Flycatcher","Muscicapa sibirica","MUSSIB",NA,"dark sided flycatcher"
NA,"WRSH",NA,"White-rumped Shama","Copsychus malabaricus","COPMAL",NA,"white rumped shama"
NA,"SBRO",NA,"Siberian Blue Robin","Larvivora cyane","LARCYA",NA,"siberian blue robin"
NA,"RTRO",NA,"Rufous-tailed Robin","Larvivora sibilans","LARSIB",NA,"rufous tailed robin"
NA,"BLUE",NA,"Bluethroat","Cyanecula svecica","CYASVE",NA,"bluethroat"
NA,"SIRU",NA,"Siberian Rubythroat","Calliope calliope","CALCAP","*","siberian rubythroat"
NA,"RFBL",NA,"Red-flanked Bluetail","Tarsiger cyanurus","TARCYA",NA,"red flanked bluetail"
NA,"NAFL",NA,"Narcissus Flycatcher","Ficedula narcissina","FICNAR",NA,"narcissus flycatcher"
NA,"MUFL",NA,"Mugimaki Flycatcher","Ficedula mugimaki","FICMUG",NA,"mugimaki flycatcher"
NA,"TAFL",NA,"Taiga Flycatcher","Ficedula albicilla","FICALB",NA,"taiga flycatcher"
NA,"CRET","*","Common Redstart","Phoenicurus phoenicurus","PHOPHO",NA,"common redstart"
NA,"STON",NA,"Stonechat","Saxicola torquatus","SAXTOR",NA,"stonechat"
NA,"NOWH",NA,"Northern Wheatear","Oenanthe oenanthe","OENOEN",NA,"northern wheatear"
